UDI,Product ID,Type,Air temperature [K],Process temperature [K],Temperature difference [K],Rotational speed [rpm],Rotational speed (rad/s),Torque [Nm],Power (W),Tool wear [min],ToolWear_Torque,Machine failure,TWF,HDF,PWF,OSF,RNF,,,,,,,,,,,,,,,,
1,M14860,M,298.1,308.6,10.5,1551,162.42,42.8,6951.59,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2,L47181,L,298.2,308.7,10.5,1408,147.45,46.3,6826.72,3,138.9,0,0,0,0,0,0,,,,,,,,,,,,,,,,
3,L47182,L,298.1,308.5,10.4,1498,156.87,49.4,7749.39,5,247,0,0,0,0,0,0,,,,,,,,,,,,,,,,
4,L47183,L,298.2,308.6,10.4,1433,150.06,39.5,5927.50,7,276.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,
5,L47184,L,298.2,308.7,10.5,1408,147.45,40,5897.82,9,360,0,0,0,0,0,0,,,,,,,,,,,,,,, , 
6,M14865,M,298.1,308.6,10.5,1425,149.23,41.9,6252.55,11,460.9,0,0,0,0,0,0,,,,,,,,,,,,,,,,
7,L47186,L,298.1,308.6,10.5,1558,163.15,42.4,6917.70,14,593.6,0,0,0,0,0,0,,,,,,,,,,,,,,,,
8,L47187,L,298.1,308.6,10.5,1527,159.91,40.2,6428.26,16,643.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
9,M14868,M,298.3,308.7,10.4,1667,174.57,28.6,4992.64,18,514.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,
10,M14869,M,298.5,309,10.5,1741,182.32,28,5104.88,21,588,0,0,0,0,0,0,,,,,,,,,,,,,,,,
11,H29424,H,298.4,308.9,10.5,1782,186.61,23.9,4459.99,24,573.6,0,0,0,0,0,0,,,,,,,,,,,,,,,,
12,H29425,H,298.6,309.1,10.5,1423,149.02,44.3,6601.42,29,1284.7,0,0,0,0,0,0,,,,,,,,,,,,,,,,
13,M14872,M,298.6,309.1,10.5,1339,140.22,51.1,7165.23,34,1737.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,
14,M14873,M,298.6,309.2,10.6,1742,182.42,30,5472.65,37,1110,0,0,0,0,0,0,,,,,,,,,,,,,,,,
15,L47194,L,298.6,309.2,10.6,2035,213.10,19.6,4176.85,40,784,0,0,0,0,0,0,,,,,,,,,,,,,,,,
16,L47195,L,298.6,309.2,10.6,1542,161.48,48.4,7815.53,42,2032.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,
17,M14876,M,298.6,309.2,10.6,1311,137.29,46.6,6397.60,44,2050.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,
18,M14877,M,298.7,309.2,10.5,1410,147.65,45.6,6733.06,47,2143.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
19,H29432,H,298.8,309.2,10.4,1306,136.76,54.5,7453.64,50,2725,0,0,0,0,0,0,,,,,,,,,,,,,,,,
20,M14879,M,298.9,309.3,10.4,1632,170.90,32.5,5554.34,55,1787.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,
21,H29434,H,298.9,309.3,10.4,1375,143.99,42.7,6148.36,58,2476.6,0,0,0,0,0,0,,,,,,,,,,,,,,,,
22,L47201,L,298.8,309.3,10.5,1450,151.84,44.8,6802.60,63,2822.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,
23,M14882,M,298.9,309.3,10.4,1581,165.56,30.7,5082.75,65,1995.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,
24,L47203,L,299,309.4,10.4,1758,184.10,25.7,4731.30,68,1747.6,0,0,0,0,0,0,,,,,,,,,,,,,,,,
25,M14884,M,299,309.4,10.4,1561,163.47,37.3,6097.34,70,2611,0,0,0,0,0,0,,,,,,,,,,,,,,,,
26,L47205,L,299,309.5,10.5,1861,194.88,23.3,4540.78,73,1700.9,0,0,0,0,0,0,,,,,,,,,,,,,,,,
27,L47206,L,299.1,309.5,10.4,1512,158.34,39,6175.11,75,2925,0,0,0,0,0,0,,,,,,,,,,,,,,,,
28,H29441,H,299.1,309.4,10.3,1811,189.65,24.6,4665.33,77,1894.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
29,L47208,L,299.1,309.4,10.3,1439,150.69,44.2,6660.57,82,3624.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,
30,L47209,L,299,309.4,10.4,1693,177.29,30.1,5336.45,84,2528.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,
31,M14890,M,299.1,309.5,10.4,1339,140.22,48.2,6758.59,86,4145.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
32,L47211,L,299,309.4,10.4,1798,188.29,25.5,4801.30,89,2269.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,
33,L47212,L,299,309.4,10.4,1419,148.60,48.3,7177.25,91,4395.3,0,0,0,0,0,0,,,,,,,,,,,,,,,,
34,L47213,L,298.9,309.3,10.4,1665,174.36,32.5,5666.65,93,3022.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,
35,M14894,M,298.8,309.1,10.3,1559,163.26,34.7,5665.06,95,3296.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,
36,M14895,M,298.8,309.2,10.4,1452,152.05,48.6,7389.78,98,4762.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,
37,M14896,M,298.9,309.2,10.3,1581,165.56,36.7,6076.12,101,3706.7,0,0,0,0,0,0,,,,,,,,,,,,,,,,
38,L47217,L,298.8,309.1,10.3,1439,150.69,39.2,5907.12,104,4076.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,
39,H29452,H,298.9,309.2,10.3,1379,144.41,50.7,7321.51,106,5374.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
40,L47219,L,298.8,309.1,10.3,1350,141.37,52.5,7422.01,111,5827.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,
41,L47220,L,298.8,309.1,10.3,1362,142.63,45.4,6475.33,113,5130.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
42,L47221,L,298.8,309.1,10.3,1368,143.26,50.8,7277.44,115,5842,0,0,0,0,0,0,,,,,,,,,,,,,,,,
43,M14902,M,298.8,309.1,10.3,1368,143.26,49.1,7033.90,117,5744.7,0,0,0,0,0,0,,,,,,,,,,,,,,,,
44,H29457,H,298.8,309.2,10.4,1372,143.68,48.5,6968.26,120,5820,0,0,0,0,0,0,,,,,,,,,,,,,,,,
45,M14904,M,298.8,309.1,10.3,1472,154.15,47.5,7322.01,125,5937.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,
46,L47225,L,298.8,309.1,10.3,1489,155.93,49.1,7656.05,128,6284.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,
47,M14906,M,298.7,309,10.3,1843,193.00,25.8,4979.36,130,3354,0,0,0,0,0,0,,,,,,,,,,,,,,,,
48,L47227,L,298.8,309.1,10.3,1418,148.49,46.3,6875.21,133,6157.9,0,0,0,0,0,0,,,,,,,,,,,,,,,,
49,H29462,H,298.8,309.2,10.4,1425,149.23,53.9,8043.26,135,7276.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,
50,M14909,M,298.9,309.2,10.3,1412,147.86,44.1,6520.82,140,6174,0,0,0,0,0,0,,,,,,,,,,,,,,,,
51,L47230,L,298.9,309.1,10.2,2861,299.60,4.6,1378.17,143,657.8,1,0,0,1,0,0,,,,,,,,,,,,,,,,
52,L47231,L,298.9,309.1,10.2,1383,144.83,54.9,7951.03,145,7960.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,
53,H29466,H,298.8,309,10.2,1497,156.77,43.8,6866.33,147,6438.6,0,0,0,0,0,0,,,,,,,,,,,,,,,,
54,L47233,L,298.7,309,10.3,1565,163.89,35.1,5752.41,152,5335.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
55,L47234,L,298.7,309,10.3,1691,177.08,30.1,5330.14,154,4635.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,
56,L47235,L,298.8,309.1,10.3,1512,158.34,40.7,6444.29,156,6349.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
57,L47236,L,298.8,309.1,10.3,1477,154.67,42.4,6558.05,158,6699.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
58,L47237,L,298.8,309.1,10.3,1513,158.44,40.3,6385.17,160,6448,0,0,0,0,0,0,,,,,,,,,,,,,,,,
59,M14918,M,298.8,309,10.2,1661,173.94,29.5,5131.22,162,4779,0,0,0,0,0,0,,,,,,,,,,,,,,,,
60,L47239,L,298.8,309.1,10.3,1378,144.30,54.4,7850.13,165,8976,0,0,0,0,0,0,,,,,,,,,,,,,,,,
61,L47240,L,298.8,309.1,10.3,1393,145.87,52.6,7673.00,167,8784.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
62,M14921,M,298.8,309,10.2,1592,166.71,38.2,6368.47,169,6455.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,
63,L47242,L,298.8,309,10.2,1829,191.53,22.9,4386.09,172,3938.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,
64,M14923,M,298.9,309,10.1,1812,189.75,25.9,4914.58,174,4506.6,0,0,0,0,0,0,,,,,,,,,,,,,,,,
65,L47244,L,299,309.1,10.1,1523,159.49,38.6,6156.24,177,6832.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
66,L47245,L,299,309.1,10.1,1394,145.98,45.1,6583.67,179,8072.9,0,0,0,0,0,0,,,,,,,,,,,,,,,,
67,M14926,M,298.9,308.9,10,1679,175.82,28.7,5046.16,181,5194.7,0,0,0,0,0,0,,,,,,,,,,,,,,,,
68,H29481,H,298.8,308.9,10.1,1466,153.52,44.1,6770.20,184,8114.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,
69,L47248,L,298.8,308.9,10.1,1527,159.91,32.4,5180.99,189,6123.6,0,0,0,0,0,0,,,,,,,,,,,,,,,,
70,L47249,L,298.9,309,10.1,1410,147.65,65.7,9700.92,191,12548.7,1,0,0,1,1,0,,,,,,,,,,,,,,,,
71,M14930,M,298.9,309,10.1,1924,201.48,22.6,4553.47,193,4361.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,
72,L47251,L,298.9,309.1,10.2,1452,152.05,45.5,6918.42,196,8918,0,0,0,0,0,0,,,,,,,,,,,,,,,,
73,L47252,L,298.9,309.1,10.2,1369,143.36,44.4,6365.24,198,8791.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
74,L47253,L,299,309.1,10.1,1592,166.71,35,5834.98,200,7000,0,0,0,0,0,0,,,,,,,,,,,,,,,,
75,L47254,L,298.9,309,10.1,1601,167.66,32.3,5415.30,202,6524.6,0,0,0,0,0,0,,,,,,,,,,,,,,,,
76,L47255,L,298.8,308.9,10.1,1379,144.41,46.7,6743.88,204,9526.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,
77,L47256,L,298.8,308.9,10.1,1461,153.00,47.9,7328.49,206,9867.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,
78,L47257,L,298.8,308.9,10.1,1455,152.37,41.3,6292.77,208,8590.4,1,1,0,0,0,0,,,,,,,,,,,,,,,,
79,L47258,L,298.8,308.9,10.1,1398,146.40,51.5,7539.51,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
80,L47259,L,298.8,308.9,10.1,1402,146.82,37.9,5564.37,2,75.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,
81,H29494,H,298.8,308.8,10,1445,151.32,49.9,7550.87,4,199.6,0,0,0,0,0,0,,,,,,,,,,,,,,,,
82,L47261,L,298.9,308.9,10,1450,151.84,47.5,7212.57,9,427.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,
83,L47262,L,298.9,308.9,10,1453,152.16,40.8,6208.04,11,448.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,
84,L47263,L,299,309,10,1469,153.83,40.1,6168.72,13,521.3,0,0,0,0,0,0,,,,,,,,,,,,,,,,
85,L47264,L,298.9,308.9,10,1422,148.91,47.6,7088.19,15,714,0,0,0,0,0,0,,,,,,,,,,,,,,,,
86,M14945,M,299,309,10,1804,188.91,26.8,5062.91,17,455.6,0,0,0,0,0,0,,,,,,,,,,,,,,,,
87,H29500,H,299,309,10,1436,150.38,43.9,6601.58,20,878,0,0,0,0,0,0,,,,,,,,,,,,,,,,
88,L47267,L,299,309,10,1544,161.69,31.8,5141.66,25,795,0,0,0,0,0,0,,,,,,,,,,,,,,,,
89,M14948,M,299,309,10,1419,148.60,45.2,6716.60,27,1220.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,
90,M14949,M,298.9,308.9,10,1487,155.72,39.5,6150.87,30,1185,0,0,0,0,0,0,,,,,,,,,,,,,,,,
91,L47270,L,298.9,308.9,10,1753,183.57,25.8,4736.20,33,851.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,
92,L47271,L,298.9,308.9,10,1830,191.64,24.9,4771.77,35,871.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,
93,M14952,M,298.9,308.9,10,1727,180.85,27.1,4901.06,37,1002.7,0,0,0,0,0,0,,,,,,,,,,,,,,,,
94,L47273,L,299.1,309,9.9,1450,151.84,43,6529.28,40,1720,0,0,0,0,0,0,,,,,,,,,,,,,,,,
95,L47274,L,299,308.9,9.9,1622,169.86,31.9,5418.39,42,1339.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,
96,M14955,M,299,309,10,1351,141.48,52.2,7385.07,44,2296.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,
97,M14956,M,299,309,10,1575,164.93,35.3,5822.16,47,1659.1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
